pl_bmasse,pl_orbper,pl_eqt,st_teff,st_rad,pl_rade,pl_name,discoverymethod,y,planet_type
1.37,0.728113,932.0,3782.0,0.32,1.1,EPIC 228836835 b,Transit,0,Terrestrial
10.4,16.141132,804.0,5868.0,0.999,2.332,EPIC 229004835 b,Transit,2,Neptune-like
953.49,6.180235,1401.0,6202.0,1.586,11.780659,EPIC 246851721 b,Transit,3,Gas Giant
4131.79,3650.0,183.0,4898.0,2.7,12.44199,EPIC 248847494 b,Transit,3,Gas Giant
8.75,3.5951,1616.0,5430.0,1.71,1.95,EPIC 249893012 b,Transit,1,Super-Earth
14.67,15.624,990.0,5430.0,1.71,3.67,EPIC 249893012 c,Transit,2,Neptune-like
10.18,35.747,752.0,5430.0,1.71,3.94,EPIC 249893012 d,Transit,2,Neptune-like
1.03,2.27476,453.6,2999.0,0.170718,1.02,G 192-15 b,Radial Velocity,0,Terrestrial
14.3,1219.0,55.9,2999.0,0.170718,3.87,G 192-15 c,Radial Velocity,2,Neptune-like
1.37,5.4536,322.3,2907.0,0.153162,1.1,G 261-6 b,Radial Velocity,0,Terrestrial
2.5,2.30538,587.0,3326.0,0.305,1.39,G 264-012 b,Radial Velocity,1,Super-Earth
3.75,8.0518,387.0,3326.0,0.305,1.76,G 264-012 c,Radial Velocity,1,Super-Earth
4.0,5.7459982,440.6,3395.0,0.3026,1.9,G 9-40 b,Transit,1,Super-Earth
1.08,10.3465,230.9,3024.0,0.137,1.03,GJ 1002 b,Radial Velocity,0,Terrestrial
1.36,21.202,181.7,3024.0,0.137,1.1,GJ 1002 c,Radial Velocity,0,Terrestrial
1.83704819,1.62892911,583.8,3229.0,0.2211,1.19151465,GJ 1132 b,Transit,0,Terrestrial
2.64,8.929,300.0,3270.0,0.2105,1.43,GJ 1132 c,Radial Velocity,1,Super-Earth
8.41,1.580404531,567.0,3101.0,0.2162,2.733,GJ 1214 b,Transit,2,Neptune-like
1.32,0.5182331,1089.0,3458.0,0.391,1.193,GJ 1252 b,Transit,0,Terrestrial
6.27,111.74,150.0,3296.0,0.245012,2.38,GJ 1289 b,Radial Velocity,2,Neptune-like
22.7,35.61253,422.0,4640.0,0.695,2.61,GJ 143 b,Transit,2,Neptune-like
3.03,11.4407,550.0,3607.0,0.38,1.55,GJ 15 A b,Radial Velocity,1,Super-Earth
0.126,1.7446999,758.0,3485.0,0.4314,0.566,GJ 238 b,Transit,0,Terrestrial
3.85,14.237,336.0,3342.0,0.36,1.79,GJ 251 b,Radial Velocity,1,Super-Earth
3.88,53.647,216.0,3342.0,0.36,1.8,GJ 251 c,Radial Velocity,1,Super-Earth
1071.04,133.71,350.0,5540.0,0.9,13.1,GJ 3021 b,Radial Velocity,3,Gas Giant
3.34,2.8531054,693.0,3556.0,0.516,2.13,GJ 3090 b,Transit,2,Neptune-like
10.6,24.422,391.0,4014.0,0.58,3.25,GJ 338 B b,Radial Velocity,2,Neptune-like
4.0,7.57686,629.0,3770.0,0.5066,0.88,GJ 341 b,Transit,0,Terrestrial
13.9,3.3366496,593.5,3600.0,0.547,4.57,GJ 3470 b,Radial Velocity,2,Neptune-like
1.86,1.1980035,773.0,3347.0,0.364,1.264,GJ 3473 b,Transit,1,Super-Earth
7.41,15.509,329.1,3347.0,0.364,2.63,GJ 3473 c,Radial Velocity,2,Neptune-like
1.84,3.9306,518.0,3505.0,0.337,1.2,GJ 357 b,Transit,0,Terrestrial
3.4,9.1247,401.2,3505.0,0.337,1.66,GJ 357 c,Radial Velocity,1,Super-Earth
6.1,55.661,219.6,3505.0,0.337,2.34,GJ 357 d,Radial Velocity,2,Neptune-like
0.633,0.3219225,1365.0,3522.0,0.458,0.699,GJ 367 b,Transit,0,Terrestrial
1.75,2.616235,568.0,3384.0,0.32,1.09,GJ 3929 b,Transit,0,Terrestrial
5.71,15.04,317.0,3384.0,0.32,2.26,GJ 3929 c,Radial Velocity,2,Neptune-like
1.71,7.02679,485.0,3579.0,0.426,1.17,GJ 393 b,Radial Velocity,0,Terrestrial
7.14,6.905,590.0,3867.0,0.61,2.57,GJ 3942 b,Radial Velocity,2,Neptune-like
3.69,6.9442,348.0,3273.0,0.19734,1.74,GJ 3988 b,Radial Velocity,1,Super-Earth
2.69,12.9394,349.83,3719.0,0.3685,1.45,GJ 411 b,Radial Velocity,1,Super-Earth
7.6,50.8,308.6,4120.0,0.68,2.63,GJ 414 A b,Radial Velocity,2,Neptune-like
53.83,749.83,124.7,4120.0,0.68,8.4,GJ 414 A c,Radial Velocity,3,Gas Giant
22.1,2.64388312,686.0,3586.11,0.455,4.17,GJ 436 b,Radial Velocity,2,Neptune-like
2.77,1.46712127,696.3,3317.0,0.3243,1.289,GJ 486 b,Radial Velocity,1,Super-Earth
5.2,140.43,202.0,3728.0,0.5,2.13,GJ 514 b,Radial Velocity,2,Neptune-like
6.37,8.70874,451.0,3641.0,0.529,2.41,GJ 536 b,Radial Velocity,2,Neptune-like
5.89,32.761,290.5,3641.0,0.529,2.3,GJ 536 c,Radial Velocity,2,Neptune-like
13.64,19.466,401.0,3837.0,0.56,3.77,GJ 720 A b,Radial Velocity,2,Neptune-like
10.75,5.101284,611.0,3799.0,0.52226,3.27,GJ 724 b,Radial Velocity,2,Neptune-like
2.96,2.37756,829.0,3913.0,0.56,1.53,GJ 740 b,Radial Velocity,1,Super-Earth
1.9,0.9263237,940.0,3600.0,0.4144,1.331,GJ 806 b,Transit,1,Super-Earth
5.8,6.64064,490.0,3600.0,0.4144,2.28,GJ 806 c,Radial Velocity,2,Neptune-like
4.2,9.262,468.0,3688.0,0.4712,1.88,GJ 887 b,Radial Velocity,1,Super-Earth
7.6,21.789,352.0,3688.0,0.4712,2.67,GJ 887 c,Radial Velocity,2,Neptune-like
